admin@boson:~# echo 1 > /sys/kernel/debug/tracing/events/enable
admin@boson:~# echo 1 > /sys/kernel/debug/tracing/tracing_on
admin@boson:~# 
admin@boson:~# ./fbomb
** 49677 printk messages dropped ** [ 1741.711577] f_booste-2073    1....... 1740852747us : sys_exit: NR 186 = 2073
[ 1741.711593] f_booste-2073    1....1.. 1740852748us : sys_gettid -> 0x819
[ 1741.711610] f_booste-2073    1....... 1740852751us : sys_enter: NR 230 (1, 0, 7fd1a6021f30, 0, 0, 0)
[ 1741.711629] f_booste-2073    1....1.. 1740852752us : sys_clock_nanosleep(which_clock: 1, flags: 0, rqtp: 7fd1a6021f30, rmtp: 0)
[ 1741.711647] f_booste-2073    1....... 1740852753us : hrtimer_init: hrtimer=ffffc90004f83e30 clockid=CLOCK_MONOTONIC mode=REL
[ 1741.711664] f_booste-2073    1d...1.. 1740852755us : lock_acquire: ffff880038912e58 hrtimer_bases.lock
[ 1741.711680] f_booste-2073    1d...1.. 1740852756us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.711697] f_booste-2073    1d...1.. 1740852757us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.711717] f_booste-2073    1d...1.. 1740852759us : hrtimer_start: hrtimer=ffffc90004f83e30 function=hrtimer_wakeup expires=1740416051579 softexpires=1740416001579
[ 1741.711735] f_booste-2073    1d...1.. 1740852760us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.711751] f_booste-2073    1d...1.. 1740852761us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.711768] f_booste-2073    1d...1.. 1740852762us : write_msr: 6e0, value 22350352fbe
[ 1741.711784] f_booste-2073    1d...1.. 1740852763us : lock_release: ffff880038912e58 hrtimer_bases.lock
[ 1741.711801] f_booste-2073    1d...1.. 1740852765us : rcu_utilization: Start context switch
[ 1741.711817] f_booste-2073    1d...1.. 1740852766us : rcu_utilization: End context switch
[ 1741.711833] f_booste-2073    1d...2.. 1740852767us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.711851] f_booste-2073    1d...2.. 1740852770us : sched_stat_runtime: comm=f_boosted pid=2073 runtime=40368 [ns] vruntime=26864210713 [ns]
[ 1741.711868] f_booste-2073    1d...2.. 1740852771us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.711885] f_booste-2073    1d...2.. 1740852773us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.711904] f_booste-2073    1d...2.. 1740852776us : sched_switch: prev_comm=f_boosted prev_pid=2073 prev_prio=120 prev_state=S ==> next_comm=f_waker next_pid=2070 next_prio=120
[ 1741.711921] f_booste-2073    1d...2.. 1740852777us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.711940] f_booste-2073    1d...2.. 1740852779us : x86_fpu_regs_deactivated: x86/fpu: ffff8800362ed2c0 fpregs_active: 0 fpstate_active: 1 xfeatures: f81e66000e0020 xcomp_bv: ffffffff81c62740
[ 1741.711959] f_booste-2073    1d...2.. 1740852780us : x86_fpu_regs_activated: x86/fpu: ffff880035e37d40 fpregs_active: 1 fpstate_active: 1 xfeatures: 6765000074725f66 xcomp_bv: 79747465
[ 1741.711977] f_booste-2073    1d...2.. 1740852781us : x86_fpu_regs_activated: x86/fpu: ffff880035e37d40 fpregs_active: 1 fpstate_active: 1 xfeatures: c32b00000078 xcomp_bv: 81802010106
[ 1741.711994] f_booste-2073    1d...2.. 1740852782us : write_msr: c0000100, value 7fd1a69fd700
[ 1741.732192]     f_rt-2072    1d...211 1740858939us : lock_acquire: ffff8800362ec758 &p->pi_lock
[ 1741.732209]     f_rt-2072    1d...311 1740858941us : lock_acquire: ffff8800388179d8 &rq->lock
[ 1741.732228]     f_rt-2072    1d...311 1740858943us : sched_pi_setprio: comm=f_boosted pid=2073 oldprio=120 newprio=92
[ 1741.732244]     f_rt-2072    1d...411 1740858945us : lock_release: ffff8800388179d8 &rq->lock
[ 1741.732261]     f_rt-2072    1d...211 1740858946us : lock_release: ffff8800362ec758 &p->pi_lock
[ 1741.732278]     f_rt-2072    1d...111 1740858947us : lock_release: ffff880031b654a8 &(lock)->wait_lock
[ 1741.732295]     f_rt-2072    1d...111 1740858948us : lock_acquire: ffff8800362ec758 &p->pi_lock
[ 1741.732312]     f_rt-2072    1d...211 1740858950us : lock_acquire: ffff880031b653e8 try &(lock)->wait_lock
[ 1741.732329]     f_rt-2072    1d...211 1740858951us : lock_release: ffff8800362ec758 &p->pi_lock
[ 1741.732346]     f_rt-2072    1d...211 1740858953us : lock_acquire: ffff8800362ec758 &p->pi_lock
[ 1741.732364]     f_rt-2072    1d...211 1740858954us : sched_waking: comm=f_boosted pid=2073 prio=92 target_cpu=000
[ 1741.732381]     f_rt-2072    1d...211 1740858956us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.732398]     f_rt-2072    1d...211 1740858957us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.732415]     f_rt-2072    1d...311 1740858958us : lock_acquire: ffff8800388179d8 &rq->lock
[ 1741.732432]     f_rt-2072    1d...311 1740858962us : sched_wake_idle_without_ipi: cpu=0
[ 1741.732449]   <idle>-0       0dN..1.. 1740858963us : cpu_idle: state=4294967295 cpu_id=0
[ 1741.732466]     f_rt-2072    1d...311 1740858964us : sched_wakeup: comm=f_boosted pid=2073 prio=92 target_cpu=000
[ 1741.732483]   <idle>-0       0dN..1.. 1740858965us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.732500]     f_rt-2072    1d...311 1740858966us : lock_release: ffff8800388179d8 &rq->lock
[ 1741.732516]   <idle>-0       0dN..1.. 1740858967us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.732533]     f_rt-2072    1d...211 1740858967us : lock_release: ffff8800362ec758 &p->pi_lock
[ 1741.732550]     f_rt-2072    1d...111 1740858968us : lock_release: ffff880031b653e8 &(lock)->wait_lock
[ 1741.732566]   <idle>-0       0dN..1.. 1740858968us : rcu_utilization: Start context switch
[ 1741.732583]     f_rt-2072    1d...111 1740858969us : lock_acquire: ffff880031b654a8 &(lock)->wait_lock
[ 1741.732599]   <idle>-0       0dN..1.. 1740858969us : rcu_utilization: End context switch
[ 1741.732616]   <idle>-0       0dN..2.. 1740858970us : lock_acquire: ffff8800388179d8 &rq->lock
[ 1741.732633]     f_rt-2072    1d...111 1740858970us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.732650]     f_rt-2072    1d...111 1740858972us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.732667]     f_rt-2072    1d...111 1740858972us : lock_release: ffff880031b654a8 &(lock)->wait_lock
[ 1741.732684]     f_rt-2072    1d...1.. 1740858974us : lock_acquire: ffff880031b654a8 &(lock)->wait_lock
[ 1741.732703]   <idle>-0       0d...2.. 1740858974us : sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=f_boosted next_pid=2073 next_prio=92
[ 1741.732720]     f_rt-2072    1d...1.. 1740858975us : lock_release: ffff880031b654a8 &(lock)->wait_lock
[ 1741.732736]   <idle>-0       0d...2.. 1740858976us : lock_release: ffff8800388179d8 &rq->lock
[ 1741.732752]     f_rt-2072    1d...... 1740858976us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.732771]   <idle>-0       0d...2.. 1740858977us : x86_fpu_regs_activated: x86/fpu: ffff8800362ed2c0 fpregs_active: 1 fpstate_active: 1 xfeatures: a0020000a0020 xcomp_bv: ffff8800388179d8
[ 1741.732788]     f_rt-2072    1d...... 1740858977us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.732804]   <idle>-0       0d...2.. 1740858978us : write_msr: c0000100, value 7fd1a6022700
[ 1741.732821]     f_rt-2072    1d...1.. 1740858979us : rcu_utilization: Start context switch
[ 1741.732837] f_booste-2073    0d...2.. 1740858980us : lock_acquire: ffff8800388179d8 &rq->lock
[ 1741.732853]     f_rt-2072    1d...1.. 1740858980us : rcu_utilization: End context switch
[ 1741.732870]     f_rt-2072    1d...2.. 1740858981us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.732886] f_booste-2073    0d...2.. 1740858981us : lock_release: ffff8800388179d8 &rq->lock
[ 1741.732903] f_booste-2073    0d...1.. 1740858983us : lock_acquire: ffff880031b653e8 &(lock)->wait_lock
[ 1741.732920]     f_rt-2072    1d...2.. 1740858984us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.732937] f_booste-2073    0d...2.. 1740858985us : lock_acquire: ffff8800362ec758 &p->pi_lock
[ 1741.732953]     f_rt-2072    1d...2.. 1740858986us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.732969] f_booste-2073    0d...2.. 1740858987us : lock_release: ffff8800362ec758 &p->pi_lock
[ 1741.732986] f_booste-2073    0d...1.. 1740858988us : lock_release: ffff880031b653e8 &(lock)->wait_lock
[ 1741.733003] f_booste-2073    0d...111 1740858989us : lock_acquire: ffffc9000099e660 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.733023]     f_rt-2072    1d...2.. 1740858990us : sched_switch: prev_comm=f_rt prev_pid=2072 prev_prio=92 prev_state=S ==> next_comm=ktimersoftd/1 next_pid=21 next_prio=98
[ 1741.733040] f_booste-2073    0d...111 1740858991us : lock_release: ffffc9000099e660 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.733057]     f_rt-2072    1d...2.. 1740858992us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.733074] f_booste-2073    0d....11 1740858992us : lock_acquire: ffffc9000099e6c8 &futex_queues[i].lock
[ 1741.733093]     f_rt-2072    1d...2.. 1740858993us : x86_fpu_regs_deactivated: x86/fpu: ffff8800362ea840 fpregs_active: 0 fpstate_active: 1 xfeatures: c9acffff006b xcomp_bv: 1010107
[ 1741.733110] f_booste-2073    0d...111 1740858994us : lock_acquire: ffff880031b653e8 &(lock)->wait_lock
[ 1741.733127] f_booste-2073    0d...111 1740858995us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.733144] ktimerso-21      1d...2.. 1740858995us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.733160] ktimerso-21      1d...2.. 1740858996us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.733177] f_booste-2073    0d...111 1740858996us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.733194] f_booste-2073    0d...211 1740858998us : lock_acquire: ffff880035e35c98 &p->pi_lock
[ 1741.733211] f_booste-2073    0d...211 1740858999us : lock_release: ffff880035e35c98 &p->pi_lock
[ 1741.733232] ktimerso-21      1d...111 1740859000us : lock_acquire: ffff88003890f430 &(&(&(*({ do { const void *__vpp_verify = (typeof((&(local_softirq_locks[i])) + 0))((void *)0); (void)__vpp_verify; } while (0); ({ unsigned long __ptr; __asm__ ("" : "=r"(__ptr) : "0"((typeof(*((&(local_softirq_locks[i])))) *)((&(local_softirq_locks[i]))))); (typeof((typeof(*((&(local_softirq_locks[i])))) *)((&(local_softirq_locks[i]))))) (__ptr + (((__per_cpu_offset[(__cpu)])))); }); })).lock)->lock)->wait_lock
[ 1741.733249] f_booste-2073    0d...211 1740859000us : lock_acquire: ffff8800362ec758 &p->pi_lock
[ 1741.733266] f_booste-2073    0d...211 1740859001us : lock_release: ffff8800362ec758 &p->pi_lock
[ 1741.733283] f_booste-2073    0d...111 1740859002us : lock_release: ffff880031b653e8 &(lock)->wait_lock
[ 1741.733304] ktimerso-21      1d...111 1740859003us : lock_release: ffff88003890f430 &(&(&(*({ do { const void *__vpp_verify = (typeof((&(local_softirq_locks[i])) + 0))((void *)0); (void)__vpp_verify; } while (0); ({ unsigned long __ptr; __asm__ ("" : "=r"(__ptr) : "0"((typeof(*((&(local_softirq_locks[i])))) *)((&(local_softirq_locks[i]))))); (typeof((typeof(*((&(local_softirq_locks[i])))) *)((&(local_softirq_locks[i]))))) (__ptr + (((__per_cpu_offset[(__cpu)])))); }); })).lock)->lock)->wait_lock
[ 1741.733321] f_booste-2073    0d....11 1740859003us : lock_release: ffffc9000099e6c8 &futex_queues[i].lock
[ 1741.733338] f_booste-2073    0d...111 1740859004us : lock_acquire: ffffc9000099e660 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.733356] ktimerso-21      1d....11 1740859005us : lock_acquire: ffff88003890f498 &per_cpu(local_softirq_locks[i], __cpu).lock
[ 1741.733373] f_booste-2073    0d...111 1740859005us : lock_release: ffffc9000099e660 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.733389] f_booste-2073    0....... 1740859007us : sys_exit: NR 202 = 0
[ 1741.733406] ktimerso-21      1.....11 1740859007us : softirq_entry: vec=1 [action=TIMER]
[ 1741.733422] f_booste-2073    0....1.. 1740859008us : sys_futex -> 0x0
[ 1741.733440] ktimerso-21      1d...111 1740859009us : lock_acquire: ffff880038911d58 &base->lock
[ 1741.733456] ktimerso-21      1d...111 1740859011us : lock_release: ffff880038911d58 &base->lock
[ 1741.733474] f_booste-2073    0....... 1740859011us : sys_enter: NR 186 (0, 0, 7fd1a61064c9, 0, 0, 0)
[ 1741.733492] ktimerso-21      1d...111 1740859012us : lock_acquire: ffff880038911d98 &base->wait_for_running_timer
[ 1741.733507] f_booste-2073    0....1.. 1740859012us : sys_gettid()
[ 1741.733524] ktimerso-21      1d...111 1740859013us : lock_release: ffff880038911d98 &base->wait_for_running_timer
[ 1741.733541] f_booste-2073    0d...... 1740859013us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.733558] ktimerso-21      1.....11 1740859015us : softirq_exit: vec=1 [action=TIMER]
[ 1741.733576] f_booste-2073    0d...... 1740859015us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.733592] f_booste-2073    0....... 1740859016us : sys_exit: NR 186 = 2073
[ 1741.733610] ktimerso-21      1d....11 1740859017us : lock_release: ffff88003890f498 &per_cpu(local_softirq_locks[i], __cpu).lock
[ 1741.733626] f_booste-2073    0....1.. 1740859017us : sys_gettid -> 0x819
[ 1741.733647] ktimerso-21      1d...111 1740859018us : lock_acquire: ffff88003890f430 &(&(&(*({ do { const void *__vpp_verify = (typeof((&(local_softirq_locks[i])) + 0))((void *)0); (void)__vpp_verify; } while (0); ({ unsigned long __ptr; __asm__ ("" : "=r"(__ptr) : "0"((typeof(*((&(local_softirq_locks[i])))) *)((&(local_softirq_locks[i]))))); (typeof((typeof(*((&(local_softirq_locks[i])))) *)((&(local_softirq_locks[i]))))) (__ptr + (((__per_cpu_offset[(__cpu)])))); }); })).lock)->lock)->wait_lock
[ 1741.733665] f_booste-2073    0....... 1740859019us : sys_enter: NR 202 (55f32b7890c4, 87, 0, 0, 0, 0)
[ 1741.733685] f_booste-2073    0....1.. 1740859020us : sys_futex(uaddr: 55f32b7890c4, op: 87, val: 0, utime: 0, uaddr2: 0, val3: 0)
[ 1741.733706] ktimerso-21      1d...111 1740859021us : lock_release: ffff88003890f430 &(&(&(*({ do { const void *__vpp_verify = (typeof((&(local_softirq_locks[i])) + 0))((void *)0); (void)__vpp_verify; } while (0); ({ unsigned long __ptr; __asm__ ("" : "=r"(__ptr) : "0"((typeof(*((&(local_softirq_locks[i])))) *)((&(local_softirq_locks[i]))))); (typeof((typeof(*((&(local_softirq_locks[i])))) *)((&(local_softirq_locks[i]))))) (__ptr + (((__per_cpu_offset[(__cpu)])))); }); })).lock)->lock)->wait_lock
[ 1741.733722] f_booste-2073    0d...... 1740859021us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.733739] f_booste-2073    0d...... 1740859023us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.733755] ktimerso-21      1d...1.. 1740859024us : rcu_utilization: Start context switch
[ 1741.733772] f_booste-2073    0d...111 1740859024us : lock_acquire: ffffc9000099e660 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.733788] ktimerso-21      1d...1.. 1740859025us : rcu_utilization: End context switch
[ 1741.733805] ktimerso-21      1d...2.. 1740859026us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.733822] f_booste-2073    0d...111 1740859026us : lock_release: ffffc9000099e660 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.733839] f_booste-2073    0d....11 1740859027us : lock_acquire: ffffc9000099e6c8 &futex_queues[i].lock
[ 1741.733856] f_booste-2073    0d...111 1740859029us : lock_acquire: ffff880031b653e8 &(lock)->wait_lock
[ 1741.733873] ktimerso-21      1d...2.. 1740859029us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.733890] f_booste-2073    0d...111 1740859030us : lock_release: ffffc9000099e6c8 &futex_queues[i].lock
[ 1741.733907] ktimerso-21      1d...2.. 1740859031us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.733924] f_booste-2073    0d...211 1740859031us : lock_acquire: ffffc9000099e660 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.733943] f_booste-2073    0d...211 1740859033us : lock_release: ffffc9000099e660 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.733960] f_booste-2073    0d...111 1740859034us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.733977] f_booste-2073    0d...111 1740859036us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.733994] f_booste-2073    0d...211 1740859037us : lock_acquire: ffff8800362ec758 &p->pi_lock
[ 1741.734013] ktimerso-21      1d...2.. 1740859037us : sched_switch: prev_comm=ktimersoftd/1 prev_pid=21 prev_prio=98 prev_state=S ==> next_comm=f_waiter next_pid=2071 next_prio=120
[ 1741.734030] f_booste-2073    0d...211 1740859038us : lock_release: ffff8800362ec758 &p->pi_lock
[ 1741.734047] ktimerso-21      1d...2.. 1740859039us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.734064] f_booste-2073    0d...211 1740859039us : lock_acquire: ffff880035e35c98 &p->pi_lock
[ 1741.734080] f_booste-2073    0d...211 1740859040us : lock_release: ffff880035e35c98 &p->pi_lock
[ 1741.734099] ktimerso-21      1d...2.. 1740859040us : x86_fpu_regs_activated: x86/fpu: ffff880035e36800 fpregs_active: 1 fpstate_active: 1 xfeatures: 690e000055f3 xcomp_bv: 81801000129
[ 1741.734117] f_booste-2073    0d...211 1740859041us : lock_acquire: ffff8800362ec758 &p->pi_lock
[ 1741.734133] ktimerso-21      1d...2.. 1740859041us : write_msr: c0000100, value 7fd1a697c700
[ 1741.734150] f_booste-2073    0d...311 1740859042us : lock_release: ffff8800362ec758 &p->pi_lock
[ 1741.734167] f_waiter-2071    1d...2.. 1740859043us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.734184] f_booste-2073    0d...211 1740859043us : lock_release: ffff880031b653e8 &(lock)->wait_lock
[ 1741.734200] f_waiter-2071    1d...2.. 1740859044us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.734217] f_booste-2073    0d...211 1740859044us : lock_acquire: ffff880035e35c98 &p->pi_lock
[ 1741.734234] f_waiter-2071    1d...1.. 1740859045us : lock_acquire: ffff880035e35c98 &p->pi_lock
[ 1741.734251] f_booste-2073    0d...211 1740859046us : lock_release: ffff880035e35c98 &p->pi_lock
[ 1741.734267] f_waiter-2071    1d...1.. 1740859047us : lock_release: ffff880035e35c98 &p->pi_lock
[ 1741.734283] f_booste-2073    0....... 1740859048us : sys_exit: NR 202 = 0
[ 1741.734299] f_booste-2073    0....1.. 1740859048us : sys_futex -> 0x0
[ 1741.734316] f_waiter-2071    1d...1.. 1740859049us : lock_acquire: ffff880031b653e8 &(lock)->wait_lock
[ 1741.734333] f_waiter-2071    1d...2.. 1740859051us : lock_acquire: ffff880035e35c98 &p->pi_lock
[ 1741.734351] f_booste-2073    0....... 1740859051us : sys_enter: NR 186 (0, 0, 7fd1a61064c9, 0, 0, 0)
[ 1741.734366] f_booste-2073    0....1.. 1740859052us : sys_gettid()
[ 1741.734383] f_waiter-2071    1d...2.. 1740859052us : lock_release: ffff880035e35c98 &p->pi_lock
[ 1741.734399] f_waiter-2071    1d...1.. 1740859053us : lock_release: ffff880031b653e8 &(lock)->wait_lock
[ 1741.734416] f_booste-2073    0d...... 1740859053us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.734432] f_booste-2073    0d...... 1740859055us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.734449] f_waiter-2071    1d...111 1740859055us : lock_acquire: ffffc9000099e660 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.734466] f_booste-2073    0....... 1740859055us : sys_exit: NR 186 = 2073
[ 1741.734482] f_booste-2073    0....1.. 1740859056us : sys_gettid -> 0x819
[ 1741.734499] f_waiter-2071    1d...111 1740859056us : lock_release: ffffc9000099e660 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.734516] f_waiter-2071    1d....11 1740859057us : lock_acquire: ffffc9000099e6c8 &futex_queues[i].lock
[ 1741.734534] f_booste-2073    0....... 1740859058us : sys_enter: NR 202 (55f32b7890c8, 87, 0, 0, 0, 0)
[ 1741.734554] f_booste-2073    0....1.. 1740859059us : sys_futex(uaddr: 55f32b7890c8, op: 87, val: 0, utime: 0, uaddr2: 0, val3: 0)
[ 1741.734571] f_waiter-2071    1d....11 1740859059us : lock_release: ffffc9000099e6c8 &futex_queues[i].lock
[ 1741.734589] f_waiter-2071    1d...111 1740859060us : lock_acquire: ffffc9000099e660 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.734605] f_booste-2073    0d...... 1740859060us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.734622] f_waiter-2071    1d...111 1740859062us : lock_release: ffffc9000099e660 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.734639] f_booste-2073    0d...... 1740859062us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.734656] f_booste-2073    0d...111 1740859063us : lock_acquire: ffffc900009943a0 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.734673] f_waiter-2071    1....... 1740859064us : sys_exit: NR 202 = 0
[ 1741.734689] f_waiter-2071    1....1.. 1740859065us : sys_futex -> 0x0
[ 1741.734706] f_booste-2073    0d...111 1740859065us : lock_release: ffffc900009943a0 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.734723] f_booste-2073    0d....11 1740859066us : lock_acquire: ffffc90000994408 &futex_queues[i].lock
[ 1741.734740] f_booste-2073    0d...111 1740859068us : lock_acquire: ffff880031b654a8 &(lock)->wait_lock
[ 1741.734759] f_waiter-2071    1....... 1740859069us : sys_enter: NR 186 (8b, 153f3, 7fd1a61064c9, 55f32b7890c4, 0, 55f32b7890c4)
[ 1741.734776] f_booste-2073    0d...111 1740859069us : lock_release: ffffc90000994408 &futex_queues[i].lock
[ 1741.734791] f_waiter-2071    1....1.. 1740859070us : sys_gettid()
[ 1741.734809] f_booste-2073    0d...211 1740859071us : lock_acquire: ffffc900009943a0 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.734826] f_waiter-2071    1d...... 1740859071us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.734843] f_booste-2073    0d...211 1740859072us : lock_release: ffffc900009943a0 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.734859] f_waiter-2071    1d...... 1740859073us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.734876] f_booste-2073    0d...111 1740859073us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.734893] f_waiter-2071    1....... 1740859074us : sys_exit: NR 186 = 2071
[ 1741.734909] f_waiter-2071    1....1.. 1740859074us : sys_gettid -> 0x817
[ 1741.734926] f_booste-2073    0d...111 1740859075us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.734943] f_booste-2073    0d...211 1740859076us : lock_acquire: ffff8800362ec758 &p->pi_lock
[ 1741.734960] f_booste-2073    0d...211 1740859077us : lock_release: ffff8800362ec758 &p->pi_lock
[ 1741.734977] f_waiter-2071    1....... 1740859077us : sys_enter: NR 202 (55f32b7890c4, 87, 0, 0, 0, 0)
[ 1741.734995] f_booste-2073    0d...211 1740859077us : lock_acquire: ffff8800362e9cd8 &p->pi_lock
[ 1741.735014] f_waiter-2071    1....1.. 1740859078us : sys_futex(uaddr: 55f32b7890c4, op: 87, val: 0, utime: 0, uaddr2: 0, val3: 0)
[ 1741.735031] f_booste-2073    0d...211 1740859079us : lock_release: ffff8800362e9cd8 &p->pi_lock
[ 1741.735048] f_waiter-2071    1d...... 1740859079us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.735065] f_booste-2073    0d...211 1740859080us : lock_acquire: ffff8800362ec758 &p->pi_lock
[ 1741.735081] f_waiter-2071    1d...... 1740859081us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.735098] f_booste-2073    0d...311 1740859082us : lock_acquire: ffff8800388179d8 &rq->lock
[ 1741.735116] f_waiter-2071    1d...111 1740859082us : lock_acquire: ffffc9000099e660 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.735134] f_booste-2073    0d...311 1740859084us : sched_pi_setprio: comm=f_boosted pid=2073 oldprio=92 newprio=120
[ 1741.735151] f_waiter-2071    1d...111 1740859084us : lock_release: ffffc9000099e660 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.735168] f_waiter-2071    1d....11 1740859085us : lock_acquire: ffffc9000099e6c8 &futex_queues[i].lock
[ 1741.735186] f_booste-2073    0d...311 1740859087us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.735202] f_waiter-2071    1d....11 1740859087us : lock_release: ffffc9000099e6c8 &futex_queues[i].lock
[ 1741.735220] f_waiter-2071    1d...111 1740859088us : lock_acquire: ffffc9000099e660 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.735237] f_booste-2073    0d...311 1740859089us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.735254] f_waiter-2071    1d...111 1740859089us : lock_release: ffffc9000099e660 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.735270] f_waiter-2071    1....... 1740859091us : sys_exit: NR 202 = 0
[ 1741.735286] f_waiter-2071    1....1.. 1740859092us : sys_futex -> 0x0
[ 1741.735305] f_waiter-2071    1....... 1740859094us : sys_enter: NR 202 (55f32b7890e4, 80, 2a7e8, 0, 2a7e9, 55f32b7890e0)
[ 1741.735324] f_waiter-2071    1....1.. 1740859095us : sys_futex(uaddr: 55f32b7890e4, op: 80, val: 2a7e8, utime: 0, uaddr2: 2a7e9, val3: 55f32b7890e0)
[ 1741.735342] f_waiter-2071    1d...111 1740859097us : lock_acquire: ffffc9000099a520 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.735359] f_booste-2073    0dN..411 1740859098us : lock_release: ffff8800388179d8 &rq->lock
[ 1741.735376] f_waiter-2071    1d...111 1740859099us : lock_release: ffffc9000099a520 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.735394] f_booste-2073    0dN..411 1740859099us : lock_acquire: ffff8800388179d8 &rq->lock
[ 1741.735411] f_waiter-2071    1d....11 1740859100us : lock_acquire: ffffc9000099a588 &futex_queues[i].lock
[ 1741.735428] f_booste-2073    0dN..411 1740859101us : lock_release: ffff8800388179d8 &rq->lock
[ 1741.735445] f_waiter-2071    1d....11 1740859101us : lock_release: ffffc9000099a588 &futex_queues[i].lock
[ 1741.735461] f_booste-2073    0dN..311 1740859102us : lock_release: ffff8800362ec758 &p->pi_lock
[ 1741.735479] f_waiter-2071    1d...111 1740859102us : lock_acquire: ffffc9000099a520 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
